  -5.99461     8.91783 
  -5.81928     9.02699 
  -5.71014     8.96146 
  -5.67300     7.18713 
  -5.60718    11.97925 
  -5.48980    11.82465 
  -5.38195    11.23991 
  -5.27288    11.33089 
  -5.20031    11.09984 
  -5.12288    10.52466 
  -4.95317     9.81655 
  -4.78229    11.75478 
  -4.76746    11.38563 
  -4.64543    11.78389 
  -4.53687    12.77095 
  -4.40936    14.70973 
  -4.29688    14.05948 
  -4.08907    11.83519 
  -3.95440    12.45684 
  -3.92441    11.38709 
  -3.78064    13.17919 
  -3.48671    13.01532 
  -3.47750     8.68232 
  -3.45957    11.84142 
  -3.43174    13.50547 
  -3.36114    13.07234 
  -3.10038     8.21043 
  -3.05172     8.75561 
  -2.91482    11.92820 
  -2.84474     9.09544 
  -2.78650     9.35884 
  -2.37132    10.85195 
  -2.21788     9.31219 
  -2.21247     7.82631 
  -2.14342     8.83171 
  -1.97039     7.62217 
  -1.76055     3.52298 
  -1.74694     7.71334 
  -1.73491     5.84695 
  -1.14835     2.45184 
  -1.10793     2.81310 
  -0.96530    -2.33946 
  -0.87737     1.71939 
  -0.79606    -1.52599 
  -0.77755     2.08253 
  -0.67436    -0.59277 
  -0.64847    -0.09551 
  -0.60687     0.00327 
  -0.58799     0.37410 
  -0.45002     0.22787 
  -0.40336    -0.23893 
  -0.27476    -2.61525 
   0.12723    -4.12386 
   0.13023    -5.12994 
   0.13677    -2.20222 
   0.19522    -2.39386 
   0.23042    -1.84527 
   0.35750    -4.40856 
   0.42791    -2.29010 
   0.43512    -0.79174 
   0.90129    -2.03054 
   0.95143    -6.29046 
   1.05345    -2.59106 
   1.09951    -6.91539 
   1.12607    -0.84314 
   1.23813    -1.21146 
   1.36392    -2.68849 
   1.44575     1.25387 
   1.75883    -5.35231 
   1.98868    -1.47864 
   2.02528    -1.07093 
   2.09371    -1.16446 
   2.12222    -0.57518 
   2.14775    -1.95783 
   2.45385     1.80079 
   2.70361     0.71951 
   2.91118     4.76311 
   2.92988     4.49336 
   3.03338     7.80007 
   3.05375     8.79900 
   3.34777     4.50575 
   3.37036    11.74065 
   3.48796    14.99720 
   3.89241    21.02609 
   3.89794    21.62009 
   3.91936    22.07892 
   4.26949    26.82140 
   4.62050    35.38891 
   4.65717    35.43074 
   4.66286    38.49782 
   4.70141    35.50708 
   4.83103    40.90999 
   4.86390    39.05750 
   5.09257    41.68522 
   5.09934    47.61321 
   5.45296    56.58869 
   5.45529    59.35502 
   5.61091    65.75505 
   5.74223    67.45378 
   5.75477    70.47843 

 
